x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, nis, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
9.3526, 20.9607, -4.8271, -0.9000, 9.4225, 20.8579, -4.5382, -0.9186, L, 0.8500, 0.0518, 0.0941, 0.5283, 0.3098
9.1118, 20.9128, -4.8092, -1.0136, 9.2057, 20.8132, -4.5078, -1.0365, R, 1.4904, 0.0521, 0.0941, 0.5272, 0.3089
8.8719, 20.8594, -4.7888, -1.1260, 8.8966, 20.7906, -4.6561, -1.0690, L, 2.4754, 0.0520, 0.0940, 0.5258, 0.3080
8.6331, 20.8003, -4.7661, -1.2372, 8.6868, 20.7077, -4.5831, -1.2527, R, 4.5247, 0.0520, 0.0940, 0.5244, 0.3071
8.3956, 20.7358, -4.7411, -1.3470, 8.4005, 20.6283, -4.6560, -1.3811, L, 2.8825, 0.0519, 0.0941, 0.5230, 0.3063
8.1593, 20.6657, -4.7139, -1.4554, 8.1711, 20.5473, -4.6191, -1.5330, R, 0.1540, 0.0517, 0.0942, 0.5215, 0.3054
7.9244, 20.5903, -4.6845, -1.5624, 7.9261, 20.4685, -4.6104, -1.6414, L, 0.1138, 0.0516, 0.0944, 0.5201, 0.3046
7.6911, 20.5096, -4.6531, -1.6678, 7.7105, 20.3810, -4.5541, -1.8193, R, 3.5177, 0.0515, 0.0946, 0.5186, 0.3040
7.4594, 20.4237, -4.6198, -1.7717, 7.3858, 20.3273, -4.7228, -1.8431, L, 3.0759, 0.0516, 0.0947, 0.5172, 0.3032
7.2294, 20.3326, -4.5845, -1.8740, 7.1489, 20.2324, -4.6798, -1.9380, R, 0.2142, 0.0518, 0.0947, 0.5158, 0.3023
7.0012, 20.2364, -4.5474, -1.9746, 6.8820, 20.1496, -4.7116, -2.0060, L, 0.3834, 0.0524, 0.0946, 0.5145, 0.3015
6.7749, 20.1352, -4.5085, -2.0736, 6.6525, 20.0595, -4.6606, -2.0650, R, 0.4950, 0.0531, 0.0946, 0.5132, 0.3007
6.5506, 20.0292, -4.4680, -2.1708, 6.4072, 19.9672, -4.6500, -2.1361, L, 0.1483, 0.0540, 0.0944, 0.5120, 0.2999
6.3283, 19.9183, -4.4260, -2.2663, 6.1883, 19.8740, -4.5890, -2.2116, R, 2.9192, 0.0548, 0.0942, 0.5107, 0.2991
6.1082, 19.8027, -4.3824, -2.3599, 5.9250, 19.7801, -4.6237, -2.2634, L, 0.4356, 0.0563, 0.0940, 0.5096, 0.2983
5.8903, 19.6824, -4.3374, -2.4518, 5.6900, 19.6339, -4.5759, -2.4885, R, 1.8610, 0.0581, 0.0938, 0.5085, 0.2975
5.6747, 19.5577, -4.2911, -2.5418, 5.5307, 19.5060, -4.3773, -2.6033, L, 1.8347, 0.0589, 0.0936, 0.5072, 0.2968
5.4615, 19.4284, -4.2436, -2.6299, 5.3302, 19.3565, -4.2704, -2.7505, R, 1.8074, 0.0595, 0.0935, 0.5058, 0.2961
5.2506, 19.2948, -4.1949, -2.7162, 5.1222, 19.2533, -4.2159, -2.7885, L, 1.9566, 0.0601, 0.0933, 0.5045, 0.2953
5.0422, 19.1570, -4.1451, -2.8006, 4.9357, 19.1420, -4.1128, -2.7736, R, 4.7392, 0.0604, 0.0930, 0.5031, 0.2946
4.8363, 19.0150, -4.0943, -2.8830, 4.7844, 18.9892, -3.9324, -2.8924, L, 0.7665, 0.0604, 0.0928, 0.5020, 0.2938
4.6330, 18.8689, -4.0426, -2.9636, 4.5743, 18.8386, -3.8982, -3.0293, R, 1.4916, 0.0604, 0.0926, 0.5007, 0.2930
4.4322, 18.7188, -3.9901, -3.0422, 4.4018, 18.7063, -3.7930, -3.0877, L, 1.1024, 0.0603, 0.0924, 0.4996, 0.2923
4.2342, 18.5648, -3.9369, -3.1189, 4.2257, 18.5641, -3.6965, -3.0972, R, 1.2889, 0.0601, 0.0921, 0.4986, 0.2915
4.0388, 18.4071, -3.8829, -3.1936, 4.1115, 18.4086, -3.4766, -3.1867, L, 1.7136, 0.0602, 0.0919, 0.4982, 0.2908
3.8461, 18.2457, -3.8284, -3.2664, 3.9264, 18.2341, -3.4303, -3.4274, R, 7.1198, 0.0603, 0.0917, 0.4977, 0.2903
3.6561, 18.0807, -3.7734, -3.3373, 3.6522, 18.0942, -3.5949, -3.4421, L, 2.9013, 0.0602, 0.0914, 0.4966, 0.2896
3.4689, 17.9122, -3.7179, -3.4063, 3.4936, 17.9452, -3.4829, -3.4072, R, 3.4652, 0.0600, 0.0912, 0.4956, 0.2889
3.2845, 17.7402, -3.6622, -3.4733, 3.2562, 17.7791, -3.5601, -3.4557, L, 1.1736, 0.0599, 0.0910, 0.4944, 0.2881
3.1029, 17.5650, -3.6061, -3.5384, 3.0744, 17.5940, -3.4939, -3.6246, R, 2.2934, 0.0598, 0.0908, 0.4932, 0.2875
2.9241, 17.3866, -3.5498, -3.6017, 2.8975, 17.4768, -3.4604, -3.5845, L, 6.1696, 0.0597, 0.0908, 0.4920, 0.2868
2.7480, 17.2051, -3.4934, -3.6630, 2.7574, 17.2581, -3.2848, -3.8280, R, 2.8540, 0.0595, 0.0907, 0.4910, 0.2863
2.5749, 17.0205, -3.4370, -3.7225, 2.5803, 17.0704, -3.2301, -3.8955, L, 0.0616, 0.0594, 0.0905, 0.4900, 0.2858
2.4045, 16.8330, -3.3806, -3.7801, 2.4169, 16.9070, -3.1668, -3.8011, R, 2.3000, 0.0592, 0.0904, 0.4890, 0.2851
2.2369, 16.6427, -3.3243, -3.8360, 2.2533, 16.7354, -3.1145, -3.8319, L, 0.5117, 0.0591, 0.0904, 0.4881, 0.2844
2.0722, 16.4497, -3.2681, -3.8900, 2.0749, 16.5406, -3.0963, -3.8307, R, 4.8452, 0.0590, 0.0905, 0.4870, 0.2838
1.9103, 16.2540, -3.2122, -3.9422, 1.9201, 16.3100, -3.0106, -3.9506, L, 2.2521, 0.0588, 0.0903, 0.4860, 0.2831
1.7511, 16.0557, -3.1566, -3.9926, 1.7631, 16.1352, -2.9707, -3.9068, R, 0.8354, 0.0587, 0.0903, 0.4850, 0.2824
1.5947, 15.8549, -3.1013, -4.0413, 1.5515, 15.9688, -3.0727, -3.8913, L, 1.5380, 0.0586, 0.0904, 0.4838, 0.2819
1.4411, 15.6517, -3.0464, -4.0883, 1.4261, 15.7347, -2.9173, -4.1090, R, 2.2958, 0.0585, 0.0904, 0.4828, 0.2813
1.2902, 15.4463, -2.9921, -4.1336, 1.2507, 15.5156, -2.9128, -4.1774, L, 0.6792, 0.0584, 0.0903, 0.4816, 0.2806
1.1420, 15.2386, -2.9383, -4.1773, 1.0898, 15.3235, -2.8934, -4.1691, R, 0.9112, 0.0584, 0.0902, 0.4805, 0.2799
0.9965, 15.0288, -2.8850, -4.2193, 0.8704, 15.1039, -3.0117, -4.2142, L, 1.9301, 0.0589, 0.0902, 0.4794, 0.2793
0.8536, 14.8169, -2.8325, -4.2598, 0.7211, 14.9252, -2.9781, -4.1323, R, 2.3618, 0.0595, 0.0903, 0.4784, 0.2788
0.7133, 14.6030, -2.7806, -4.2986, 0.6317, 14.7121, -2.7807, -4.1908, L, 0.7729, 0.0596, 0.0904, 0.4773, 0.2782
0.5756, 14.3872, -2.7295, -4.3360, 0.5195, 14.4686, -2.6297, -4.3661, R, 1.9623, 0.0596, 0.0903, 0.4762, 0.2776
0.4405, 14.1696, -2.6792, -4.3718, 0.3425, 14.2451, -2.6730, -4.4119, L, 0.6281, 0.0598, 0.0903, 0.4751, 0.2769
0.3078, 13.9502, -2.6298, -4.4062, 0.2155, 13.9902, -2.5508, -4.6249, R, 2.7178, 0.0600, 0.0901, 0.4740, 0.2767
0.1775, 13.7292, -2.5813, -4.4391, 0.2228, 13.7412, -2.1142, -4.6967, L, 4.0574, 0.0599, 0.0899, 0.4740, 0.2766
0.0497, 13.5065, -2.5338, -4.4706, 0.1177, 13.4977, -2.0009, -4.8070, R, 0.7171, 0.0600, 0.0897, 0.4743, 0.2769
-0.0758, 13.2823, -2.4873, -4.5008, -0.0560, 13.2640, -2.0924, -4.8430, L, 1.2861, 0.0598, 0.0895, 0.4740, 0.2772
-0.1990, 13.0566, -2.4418, -4.5296, -0.1757, 13.0480, -2.0644, -4.7636, R, 1.3610, 0.0597, 0.0893, 0.4736, 0.2771
-0.3199, 12.8295, -2.3974, -4.5570, -0.1605, 12.8248, -1.6769, -4.7753, L, 3.5320, 0.0606, 0.0891, 0.4750, 0.2768
-0.4387, 12.6011, -2.3541, -4.5833, -0.2776, 12.6012, -1.6809, -4.7002, R, 3.4465, 0.0614, 0.0889, 0.4761, 0.2763
-0.5553, 12.3714, -2.3120, -4.6082, -0.4019, 12.3665, -1.6990, -4.7315, L, 0.3886, 0.0621, 0.0887, 0.4768, 0.2758
-0.6698, 12.1404, -2.2711, -4.6320, -0.5272, 12.1593, -1.7429, -4.6679, R, 3.6203, 0.0627, 0.0885, 0.4770, 0.2752
-0.7823, 11.9083, -2.2314, -4.6546, -0.6023, 11.9430, -1.6473, -4.6690, L, 0.5053, 0.0637, 0.0883, 0.4775, 0.2746
-0.8929, 11.6751, -2.1930, -4.6760, -0.7323, 11.7144, -1.7100, -4.6607, R, 2.6615, 0.0644, 0.0882, 0.4776, 0.2740
-1.0016, 11.4409, -2.1559, -4.6963, -0.9435, 11.4694, -1.9839, -4.6793, L, 3.8769, 0.0644, 0.0880, 0.4766, 0.2734
-1.1085, 11.2057, -2.1202, -4.7155, -1.0506, 11.2448, -1.9926, -4.6006, R, 2.2849, 0.0644, 0.0879, 0.4757, 0.2729
-1.2136, 10.9695, -2.0858, -4.7336, -1.2342, 11.0186, -2.1847, -4.5883, L, 1.7456, 0.0643, 0.0877, 0.4747, 0.2725
-1.3171, 10.7324, -2.0527, -4.7508, -1.3085, 10.7696, -2.0299, -4.7331, R, 1.8775, 0.0641, 0.0876, 0.4736, 0.2719
-1.4189, 10.4945, -2.0211, -4.7669, -1.4397, 10.5148, -2.0715, -4.7739, L, 0.7012, 0.0640, 0.0874, 0.4726, 0.2713
-1.5192, 10.2559, -1.9909, -4.7820, -1.5295, 10.2489, -1.9698, -4.8988, R, 1.4911, 0.0639, 0.0872, 0.4716, 0.2708
-1.6180, 10.0165, -1.9622, -4.7962, -1.6209, 10.0406, -1.9152, -4.8597, L, 2.0411, 0.0637, 0.0870, 0.4706, 0.2703
-1.7154, 9.7764, -1.9350, -4.8094, -1.7095, 9.8114, -1.8671, -4.8312, R, 0.5444, 0.0636, 0.0869, 0.4696, 0.2697
-1.8115, 9.5356, -1.9092, -4.8217, -1.7768, 9.5938, -1.7631, -4.8091, L, 0.8934, 0.0635, 0.0868, 0.4687, 0.2691
-1.9063, 9.2943, -1.8850, -4.8332, -1.8926, 9.3382, -1.7700, -4.9039, R, 2.4305, 0.0634, 0.0866, 0.4678, 0.2686
-2.0000, 9.0524, -1.8623, -4.8437, -1.9739, 9.0430, -1.6978, -4.9982, L, 3.9786, 0.0633, 0.0864, 0.4669, 0.2682
-2.0926, 8.8100, -1.8412, -4.8535, -2.0587, 8.8223, -1.6818, -4.9147, R, 1.9177, 0.0632, 0.0863, 0.4661, 0.2677
-2.1841, 8.5672, -1.8216, -4.8624, -2.1539, 8.5701, -1.6707, -4.9403, L, 0.0814, 0.0631, 0.0861, 0.4652, 0.2672
-2.2747, 8.3239, -1.8037, -4.8705, -2.2898, 8.3124, -1.7741, -4.9707, R, 2.5565, 0.0629, 0.0859, 0.4642, 0.2667
-2.3645, 8.0802, -1.7873, -4.8778, -2.3257, 8.0832, -1.6044, -4.9483, L, 1.0346, 0.0628, 0.0857, 0.4634, 0.2662
-2.4535, 7.8362, -1.7725, -4.8843, -2.3822, 7.8739, -1.5178, -4.8813, R, 5.5432, 0.0629, 0.0856, 0.4627, 0.2656
-2.5418, 7.5918, -1.7593, -4.8901, -2.4999, 7.6209, -1.5892, -4.9141, L, 0.6224, 0.0628, 0.0854, 0.4619, 0.2651
-2.6294, 7.3472, -1.7478, -4.8951, -2.6710, 7.3837, -1.8512, -4.8310, R, 5.0490, 0.0627, 0.0853, 0.4610, 0.2646
-2.7166, 7.1024, -1.7379, -4.8993, -2.7764, 7.1283, -1.8783, -4.8562, L, 0.2594, 0.0627, 0.0851, 0.4601, 0.2640
-2.8033, 6.8573, -1.7296, -4.9029, -2.8297, 6.8951, -1.7285, -4.8900, R, 1.9352, 0.0626, 0.0850, 0.4592, 0.2635
-2.8896, 6.6121, -1.7230, -4.9057, -2.8620, 6.6939, -1.5741, -4.8167, L, 2.5609, 0.0625, 0.0850, 0.4584, 0.2630
-2.9756, 6.3668, -1.7180, -4.9077, -2.9186, 6.4774, -1.5458, -4.7091, R, 3.6606, 0.0625, 0.0851, 0.4576, 0.2628
-3.0614, 6.1214, -1.7146, -4.9091, -2.9719, 6.2437, -1.4707, -4.7057, L, 0.2971, 0.0626, 0.0853, 0.4569, 0.2626
-3.1471, 5.8759, -1.7130, -4.9098, -3.0942, 5.9925, -1.5580, -4.7717, R, 3.6059, 0.0626, 0.0854, 0.4561, 0.2622
-3.2327, 5.6304, -1.7129, -4.9097, -3.1822, 5.7148, -1.5684, -4.8441, L, 1.8219, 0.0626, 0.0854, 0.4553, 0.2617
-3.3184, 5.3850, -1.7146, -4.9089, -3.2940, 5.4666, -1.6939, -4.8061, R, 2.0236, 0.0624, 0.0854, 0.4544, 0.2613
-3.4042, 5.1395, -1.7179, -4.9074, -3.3955, 5.2029, -1.7368, -4.8497, L, 0.6081, 0.0623, 0.0853, 0.4535, 0.2608
-3.4903, 4.8942, -1.7228, -4.9052, -3.4589, 4.9575, -1.6410, -4.8834, R, 0.3788, 0.0622, 0.0853, 0.4526, 0.2603
-3.5766, 4.6490, -1.7294, -4.9023, -3.5809, 4.6730, -1.7317, -4.9689, L, 2.0596, 0.0621, 0.0851, 0.4517, 0.2598
-3.6633, 4.4040, -1.7376, -4.8987, -3.6913, 4.4187, -1.8500, -4.9345, R, 1.9225, 0.0620, 0.0849, 0.4509, 0.2593
-3.7504, 4.1591, -1.7475, -4.8943, -3.8319, 4.1419, -1.9766, -4.9984, L, 2.1836, 0.0621, 0.0848, 0.4503, 0.2589
-3.8381, 3.9145, -1.7590, -4.8892, -3.9062, 3.9029, -1.8671, -5.0091, R, 1.4713, 0.0621, 0.0846, 0.4494, 0.2585
-3.9263, 3.6702, -1.7721, -4.8833, -3.9751, 3.6747, -1.8121, -4.9583, L, 0.8399, 0.0621, 0.0845, 0.4486, 0.2580
-4.0153, 3.4262, -1.7869, -4.8767, -4.0715, 3.4754, -1.8720, -4.8363, R, 4.0464, 0.0621, 0.0844, 0.4478, 0.2575
-4.1051, 3.1825, -1.8032, -4.8692, -4.1632, 3.2315, -1.8774, -4.8364, L, 0.0150, 0.0620, 0.0842, 0.4469, 0.2570
-4.1957, 2.9392, -1.8211, -4.8610, -4.2795, 2.9747, -1.9730, -4.8500, R, 0.5933, 0.0621, 0.0841, 0.4462, 0.2566
-4.2873, 2.6963, -1.8406, -4.8520, -4.3724, 2.6974, -1.9772, -4.9118, L, 1.3063, 0.0622, 0.0840, 0.4454, 0.2561
-4.3798, 2.4539, -1.8617, -4.8422, -4.4567, 2.4485, -1.9261, -4.9230, R, 0.2811, 0.0623, 0.0838, 0.4446, 0.2557
-4.4735, 2.2120, -1.8844, -4.8315, -4.5634, 2.1800, -1.9516, -4.9719, L, 0.5617, 0.0624, 0.0837, 0.4437, 0.2553
-4.5684, 1.9707, -1.9085, -4.8199, -4.6714, 1.9528, -2.0887, -4.8874, R, 3.8134, 0.0626, 0.0835, 0.4430, 0.2549
-4.6644, 1.7300, -1.9342, -4.8075, -4.7908, 1.6736, -2.1374, -4.9589, L, 1.3955, 0.0630, 0.0834, 0.4424, 0.2546
-4.7619, 1.4899, -1.9614, -4.7942, -4.9134, 1.4243, -2.2306, -4.9453, R, 0.2721, 0.0636, 0.0834, 0.4419, 0.2543
-4.8607, 1.2505, -1.9901, -4.7799, -4.9713, 1.1975, -2.1660, -4.8694, L, 5.2572, 0.0638, 0.0833, 0.4412, 0.2538
-4.9609, 1.0118, -2.0202, -4.7647, -5.0634, 0.9873, -2.1349, -4.7841, R, 1.2290, 0.0640, 0.0831, 0.4404, 0.2534
-5.0628, 0.7739, -2.0517, -4.7485, -5.1229, 0.7607, -2.0800, -4.7314, L, 3.9817, 0.0640, 0.0830, 0.4396, 0.2529
-5.1662, 0.5369, -2.0847, -4.7313, -5.2189, 0.4571, -2.0906, -4.8740, R, 5.3751, 0.0639, 0.0830, 0.4388, 0.2526
-5.2713, 0.3007, -2.1191, -4.7130, -5.2932, 0.2194, -2.0588, -4.8453, L, 1.5898, 0.0638, 0.0830, 0.4380, 0.2523
-5.3782, 0.0655, -2.1548, -4.6937, -5.4017, -0.0138, -2.0140, -4.8219, R, 5.8690, 0.0637, 0.0830, 0.4373, 0.2519
-5.4869, -0.1688, -2.1918, -4.6733, -5.4712, -0.2498, -1.9705, -4.8015, L, 1.6129, 0.0636, 0.0829, 0.4367, 0.2516
-5.5975, -0.4020, -2.2301, -4.6518, -5.5919, -0.4204, -2.0811, -4.6398, R, 3.5435, 0.0635, 0.0828, 0.4360, 0.2511
-5.7100, -0.6341, -2.2697, -4.6292, -5.7281, -0.5978, -2.1828, -4.5059, L, 2.2703, 0.0634, 0.0827, 0.4352, 0.2508
-5.8246, -0.8650, -2.3106, -4.6054, -5.8448, -0.8260, -2.3295, -4.5072, R, 5.3016, 0.0633, 0.0826, 0.4345, 0.2504
-5.9412, -1.0947, -2.3526, -4.5803, -5.9407, -1.1050, -2.3035, -4.6151, L, 1.8172, 0.0632, 0.0824, 0.4337, 0.2500
-6.0599, -1.3232, -2.3958, -4.5540, -6.0286, -1.3804, -2.2567, -4.7075, R, 2.9987, 0.0631, 0.0823, 0.4330, 0.2497
-6.1809, -1.5503, -2.4401, -4.5265, -6.1684, -1.5849, -2.3523, -4.6197, L, 0.9618, 0.0630, 0.0822, 0.4323, 0.2493
-6.3041, -1.7759, -2.4855, -4.4976, -6.3144, -1.8228, -2.5672, -4.6341, R, 3.4851, 0.0629, 0.0821, 0.4315, 0.2490
-6.4295, -2.0001, -2.5320, -4.4674, -6.4216, -2.0786, -2.5579, -4.6723, L, 0.5908, 0.0628, 0.0821, 0.4308, 0.2488
-6.5574, -2.2228, -2.5795, -4.4359, -6.5731, -2.2757, -2.6371, -4.5492, R, 3.0603, 0.0627, 0.0820, 0.4300, 0.2485
-6.6876, -2.4439, -2.6279, -4.4029, -6.7246, -2.4836, -2.7311, -4.4708, L, 0.3591, 0.0626, 0.0819, 0.4293, 0.2481
-6.8203, -2.6632, -2.6772, -4.3685, -6.8817, -2.6929, -2.8323, -4.4019, R, 0.9529, 0.0626, 0.0818, 0.4286, 0.2477
-6.9555, -2.8808, -2.7274, -4.3326, -6.9711, -2.9737, -2.7420, -4.5345, L, 2.7675, 0.0625, 0.0818, 0.4279, 0.2475
-7.0932, -3.0966, -2.7784, -4.2952, -7.0986, -3.1973, -2.7226, -4.4953, R, 0.3634, 0.0624, 0.0819, 0.4272, 0.2474
-7.2334, -3.3105, -2.8302, -4.2563, -7.2237, -3.3878, -2.7600, -4.4001, L, 1.3807, 0.0623, 0.0819, 0.4265, 0.2471
-7.3763, -3.5224, -2.8827, -4.2159, -7.3686, -3.6409, -2.7803, -4.4494, R, 4.4726, 0.0622, 0.0820, 0.4258, 0.2470
-7.5218, -3.7322, -2.9358, -4.1738, -7.5314, -3.7651, -2.9243, -4.1923, L, 4.5650, 0.0621, 0.0819, 0.4250, 0.2466
-7.6700, -3.9399, -2.9895, -4.1301, -7.6774, -3.9724, -2.9903, -4.1653, R, 0.4525, 0.0620, 0.0818, 0.4243, 0.2462
-7.8209, -4.1454, -3.0438, -4.0848, -7.8293, -4.2074, -3.0239, -4.1938, L, 0.5953, 0.0619, 0.0817, 0.4236, 0.2459
-7.9746, -4.3485, -3.0986, -4.0378, -7.9802, -4.4264, -3.0517, -4.1821, R, 0.4233, 0.0618, 0.0817, 0.4229, 0.2456
-8.1310, -4.5493, -3.1538, -3.9891, -8.1390, -4.6718, -3.0804, -4.2332, L, 1.2685, 0.0617, 0.0819, 0.4222, 0.2456
-8.2901, -4.7476, -3.2093, -3.9386, -8.2758, -4.8741, -2.9966, -4.1537, R, 2.3391, 0.0616, 0.0821, 0.4216, 0.2455
-8.4520, -4.9433, -3.2651, -3.8864, -8.4045, -5.0958, -2.9743, -4.1752, L, 0.2883, 0.0615, 0.0824, 0.4213, 0.2456
-8.6168, -5.1364, -3.3212, -3.8324, -8.5518, -5.2564, -2.9712, -4.0227, R, 3.4850, 0.0615, 0.0826, 0.4210, 0.2455
-8.7843, -5.3267, -3.3774, -3.7766, -8.7416, -5.4543, -3.0819, -3.9744, L, 1.8190, 0.0615, 0.0828, 0.4207, 0.2453
-8.9547, -5.5142, -3.4338, -3.7190, -8.9014, -5.6505, -3.1172, -3.9386, R, 0.2585, 0.0614, 0.0830, 0.4204, 0.2453
-9.1279, -5.6987, -3.4901, -3.6596, -9.0564, -5.8364, -3.1531, -3.8912, L, 0.0893, 0.0615, 0.0833, 0.4201, 0.2452
-9.3039, -5.8803, -3.5464, -3.5982, -9.1960, -5.9868, -3.1251, -3.7528, R, 5.5723, 0.0617, 0.0833, 0.4201, 0.2450
-9.4827, -6.0587, -3.6026, -3.5350, -9.3763, -6.0786, -3.2506, -3.5019, L, 4.0986, 0.0619, 0.0832, 0.4199, 0.2446
-9.6643, -6.2339, -3.6586, -3.4699, -9.5543, -6.2601, -3.3298, -3.4782, R, 1.0559, 0.0621, 0.0831, 0.4197, 0.2442
-9.8487, -6.4058, -3.7143, -3.4029, -9.6876, -6.4782, -3.2818, -3.5604, L, 0.7233, 0.0627, 0.0831, 0.4197, 0.2439
-10.0359, -6.5743, -3.7697, -3.3340, -9.9166, -6.6337, -3.5190, -3.4705, R, 7.1750, 0.0630, 0.0830, 0.4193, 0.2437
-10.2259, -6.7393, -3.8246, -3.2632, -10.1199, -6.8008, -3.6190, -3.3937, L, 0.6535, 0.0631, 0.0829, 0.4187, 0.2434
-10.4186, -6.9008, -3.8791, -3.1905, -10.3077, -6.9600, -3.7098, -3.3353, R, 0.9097, 0.0634, 0.0829, 0.4182, 0.2431
-10.6140, -7.0585, -3.9329, -3.1158, -10.5374, -7.1464, -3.8328, -3.2980, L, 3.7429, 0.0634, 0.0829, 0.4175, 0.2429
-10.8121, -7.2124, -3.9861, -3.0392, -10.7476, -7.2821, -3.9423, -3.1687, R, 1.6916, 0.0634, 0.0828, 0.4169, 0.2427
-11.0128, -7.3625, -4.0386, -2.9606, -10.9946, -7.4485, -4.0847, -3.0877, L, 3.5018, 0.0633, 0.0829, 0.4162, 0.2424
-11.2161, -7.5086, -4.0902, -2.8802, -11.1851, -7.5827, -4.0859, -2.9642, R, 1.2855, 0.0632, 0.0828, 0.4155, 0.2420
-11.4220, -7.6506, -4.1409, -2.7978, -11.3276, -7.7456, -4.0081, -2.9804, L, 3.2410, 0.0634, 0.0829, 0.4149, 0.2419
-11.6304, -7.7885, -4.1907, -2.7135, -11.5251, -7.8674, -4.0461, -2.8528, R, 1.6808, 0.0635, 0.0829, 0.4144, 0.2416
-11.8413, -7.9221, -4.2393, -2.6273, -11.7025, -7.9724, -4.0593, -2.7220, L, 2.8201, 0.0639, 0.0828, 0.4138, 0.2413
-12.0546, -8.0513, -4.2868, -2.5392, -11.8965, -8.0796, -4.0366, -2.5557, R, 1.4090, 0.0644, 0.0827, 0.4134, 0.2409
-12.2702, -8.1761, -4.3331, -2.4493, -12.1096, -8.1699, -4.1128, -2.3954, L, 0.4321, 0.0650, 0.0825, 0.4129, 0.2406
-12.4881, -8.2963, -4.3780, -2.3576, -12.3408, -8.2979, -4.2865, -2.3888, R, 2.8635, 0.0654, 0.0824, 0.4123, 0.2402
-12.7082, -8.4119, -4.4216, -2.2640, -12.5426, -8.3807, -4.3187, -2.2364, L, 1.5370, 0.0659, 0.0823, 0.4117, 0.2398
-12.9304, -8.5228, -4.4636, -2.1686, -12.7499, -8.4602, -4.3015, -2.0469, R, 1.4337, 0.0666, 0.0822, 0.4112, 0.2395
-13.1547, -8.6289, -4.5041, -2.0715, -13.0284, -8.5524, -4.4571, -1.8909, L, 4.1599, 0.0669, 0.0822, 0.4105, 0.2394
-13.3810, -8.7300, -4.5429, -1.9727, -13.2826, -8.6497, -4.5942, -1.8156, R, 2.7564, 0.0670, 0.0822, 0.4099, 0.2392
-13.6092, -8.8262, -4.5800, -1.8721, -13.5016, -8.6994, -4.6238, -1.6271, L, 1.5607, 0.0672, 0.0824, 0.4093, 0.2392
-13.8392, -8.9173, -4.6152, -1.7700, -13.7197, -8.7305, -4.5793, -1.3583, R, 3.2810, 0.0674, 0.0829, 0.4087, 0.2399
-14.0709, -9.0032, -4.6486, -1.6662, -13.9386, -8.8541, -4.5829, -1.3937, L, 1.3353, 0.0677, 0.0832, 0.4081, 0.2400
-14.3043, -9.0840, -4.6800, -1.5609, -14.1955, -8.9453, -4.7400, -1.3984, R, 2.9792, 0.0678, 0.0834, 0.4074, 0.2398
-14.5391, -9.1594, -4.7094, -1.4540, -14.4136, -9.0701, -4.7172, -1.4550, L, 0.9113, 0.0681, 0.0834, 0.4068, 0.2394
-14.7754, -9.2294, -4.7366, -1.3457, -14.6419, -9.1407, -4.7070, -1.3513, R, 0.3383, 0.0684, 0.0835, 0.4062, 0.2391
-15.0130, -9.2940, -4.7616, -1.2360, -14.9328, -9.1331, -4.8460, -1.0378, L, 1.7021, 0.0684, 0.0838, 0.4056, 0.2390
-15.2517, -9.3530, -4.7844, -1.1250, -15.1936, -9.2055, -4.8990, -0.9786, R, 4.5623, 0.0684, 0.0841, 0.4050, 0.2387
-15.4916, -9.4065, -4.8048, -1.0127, -15.4545, -9.3340, -4.9252, -1.0733, L, 5.4627, 0.0683, 0.0840, 0.4045, 0.2384
-15.7324, -9.4543, -4.8228, -0.8992, -15.6956, -9.3611, -4.8708, -0.8620, R, 2.1206, 0.0683, 0.0841, 0.4039, 0.2380
